City,Price,Bedroom,Bathroom,Floors,Parking,Year,Area,Road Width,Build Area,Air Condition,Backyard,Balcony,CCTV,Cafeteria,Deck,Drainage,Electricity Backup,Fencing,Frontyard,Garage,Garden,Gym,Intercom,Internet,Jacuzzi,Kids Playground,Lawn,Lift,Maintenance,Microwave,Modular Kitchen,Parking,Security Staff,Solar Water,Store Room,Swimming Pool,TV Cable,Washing Machine,Water Supply,Water Tank,Water Well,Wifi,East,North,North East,North West,South,South East,South West,West
Kathmandu,105000000,5,5,3.0,4,2070.0,4 Ropani,4.57,N/A Aana,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0
Kathmandu,27500000,6,5,3.0,1,2076.0,4 ana Aana,4.88,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,40000000,7,7,4.0,2,2074.0,7 Aana,4.57,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,26500000,6,6,3.0,2,2075.0,5 Aana,4.27,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Bhaktapur,50,0,2,3.5,2,2076.0,2500 Sq. Feet,6.1,N/A Sq. Feet,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
Kathmandu,22500000,6,6,3.0,1,2070.0,3.1 Aana,5.49,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
Kathmandu,60000000,6,6,3.0,4,2070.0,11 Aana,4.57,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
Kathmandu,250000000,6,5,3.0,10,2058.0,30 Aana,4.57,N/A Aana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,40000000,9,6,4.0,3,2069.0,9 Aana,3.96,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,30000000,6,5,3.0,1,2076.0,3.5 Aana,4.57,N/A Aana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,65000000,6,6,3.0,4,2070.0,12 Aana,4.27,N/A Aana,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,33000000,5,6,3.0,2,2070.0,5 Aana,3.96,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
Kathmandu,30500000,5,5,2.0,1,2070.0,4 Aana,3.96,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Kathmandu,14000000,2,2,1.0,1,2076.0,3.1 ana Aana,3.96,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
Kathmandu,28000000,6,6,3.0,1,2076.0,4 Aana,3.96,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
