City,Price,Bedroom,Bathroom,Floors,Year,Area,Road Width,Balcony,Drainage,Water Supply,Water Tank,East,North,North East,North West,South,South East,South West,West
16,2450000,0,0,3.0,2058.0,5.0,4.88,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
16,5700000,0,0,3.0,2058.0,16.0,4.27,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,20000,0,1,3.0,2058.0,2.4645,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,65000,0,1,3.0,2058.0,2.544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,2500000,0,0,3.0,2058.0,9.0,4.57,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
19,35000,0,0,5.0,2013.0,9.0,21.95,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,4000000,0,0,3.0,2058.0,64.0,4.57,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
16,250000,6,7,3.0,2070.0,21.0,4.88,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0
16,5700000,0,0,3.0,2058.0,4.0,4.57,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,3000000,0,0,3.0,2058.0,5.0,3.96,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,60000,0,2,4.5,2076.0,6.7575,20.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0
16,5500000,0,0,3.0,2058.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,7000000,0,0,3.0,2058.0,7.0,9.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,25000,2,2,3.0,2076.0,8.62575,3.96,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
16,30000,0,0,2.0,2058.0,3.975,7.92,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
3,550000,0,0,3.0,2058.0,10.75,3.05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
19,115000,0,0,3.0,2058.0,11.13,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
19,35000000,0,0,3.0,2058.0,11.13,6.1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
16,1900000,0,0,3.0,2058.0,25.0,6.71,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
16,600000,5,4,3.0,2058.0,80.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,3000000,0,0,3.0,2058.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,23000000,3,3,3.0,2058.0,12.584850000000001,6.1,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0
16,80000,3,2,4.0,2058.0,12.0363,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
9,700000,0,0,3.0,2058.0,10.79,7.62,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,35000,2,2,3.0,2074.0,6.0,3.05,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0
16,290000,0,1,1.0,2058.0,7.155,3.66,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,150000,3,4,3.0,2058.0,5.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0
16,11000000,0,0,3.0,2058.0,9.75,9.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,55000,0,0,3.0,2058.0,1.0,3.05,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,55000,0,0,3.0,2058.0,16.0,3.66,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,11000000,0,0,3.0,2058.0,10.0,12.19,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
7,20000,0,0,3.0,2058.0,12.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,20000,1,1,3.0,2058.0,1111111111111.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,3500000,0,0,3.0,2058.0,4.0,6.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,16500000,3,2,5.0,2058.0,9.540000000000001,12.19,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0
19,60000,4,3,3.0,2058.0,4.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0
3,70000,4,3,3.0,2058.0,4.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0
19,120000,5,4,3.0,2058.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,10000000,0,0,3.0,2058.0,26.0,10.67,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,3500000,0,0,3.0,2058.0,16.0,4.27,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,2400000,0,0,3.0,2058.0,4.0,4.88,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
3,2200000,0,0,3.0,2058.0,11.4375,3.96,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,275000,0,0,2.0,2058.0,24.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,3000000,0,0,3.0,2058.0,7.75,3.96,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
16,70000,0,0,4.0,2076.0,6.0,7.62,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,3500000,0,0,3.0,2058.0,1.0,4.88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,760000,0,0,3.0,2058.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
16,7000000,0,0,3.0,2058.0,2.5,7.92,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
16,2500000,0,0,3.0,2058.0,11.5,4.27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,6000000,0,0,3.0,2058.0,8.0,9.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,24500000,0,3,2.0,2074.0,3.0,4.88,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,2850000,0,0,3.0,2058.0,17.0,3.96,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,2500000,0,0,3.0,2058.0,11.5,4.27,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
16,40000,0,0,3.0,2058.0,24.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,2600000,0,0,3.0,2058.0,32.0,4.27,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,17000000,5,3,3.0,2058.0,3.0,4.27,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1
26,15000,2,1,3.0,2058.0,8.5,3.96,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,2850000,0,0,3.0,2058.0,5.25,3.66,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
16,4000000,0,0,3.0,2058.0,48.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
28,250000,0,0,3.0,2058.0,8.299999999999999,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,15000000,0,0,3.0,2058.0,13.625,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
28,235000,0,0,3.0,2058.0,10.79,4.88,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,40000,4,3,3.0,2020.0,11.925,6.71,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0
16,5500000,0,0,3.0,2058.0,18.0,10.97,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
16,200000,6,4,3.0,2058.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,1150000,0,0,3.0,2058.0,7.25,3.35,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,40000,3,2,3.0,2058.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,200000,5,4,3.0,2058.0,25.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
21,300000,0,0,3.0,2058.0,144.0,4.27,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
16,4200000,0,0,3.0,2058.0,13.0,11.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,3500000,0,0,3.0,2058.0,11.925,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,11900000,2,1,3.0,2058.0,5.42985,9.14,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,28500000,6,6,3.0,2058.0,5.5,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
19,21500000,0,0,3.0,2058.0,3.5,3.96,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,20000,2,1,3.0,2058.0,3.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,3000000,0,0,3.0,2058.0,4.0,3.96,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,12500000,3,1,2.0,2058.0,5.0,4.88,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1
16,32500000,11,0,3.0,2058.0,4.5,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,22000000,5,3,2.5,2076.0,4.0,3.05,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0
24,11000000,3,4,3.0,2018.0,4.0,4.57,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,17000000,0,2,3.0,2017.0,3.1,6.1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
3,3000000,0,0,3.0,2058.0,4.25,3.96,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1
19,11000000,2,1,1.5,2076.0,2.75,3.96,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1
19,900000,0,0,3.0,2058.0,5.0,3.05,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,15000000,0,0,3.0,2058.0,8.0,13.72,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,13000000,4,2,1.5,2076.0,3.0,3.96,0.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0
16,42500000,28,0,5.0,2058.0,5.3125,8.84,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
16,1300000,0,0,3.0,2058.0,14.0,6.1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
18,1800000,0,0,3.0,2058.0,4.75,3.66,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,300000,8,5,3.0,2058.0,12.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,10500000,0,0,3.0,2058.0,7.25,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,50000000,3,3,3.0,2070.0,80.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
7,10500000,4,2,3.0,2009.0,4.0,3.96,0.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0
16,30000000,6,5,3.0,2019.0,5.0,4.27,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
19,31500000,4,4,3.0,2012.0,4.3,3.66,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0
19,18000000,3,3,3.0,2058.0,3.1875,5.49,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0
